"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 23:12:06 GMT 2025","Wed Oct 15 23:12:06 GMT 2025","4","","com.anastasia.Anastasia_BackEnd.util.JwtUtilTest","","com.anastasia.Anastasia_BackEnd.util.JwtUtilTest","testGenerateAndValidateAccessToken","testGenerateAndValidateAccessToken()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.RoleServiceTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.RoleServiceTest","testCreateRole_throwsIfRoleAlreadyExists","testCreateRole_throwsIfRoleAlreadyExists()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","testRevokeAllValidUserTokens_ShouldRevokeAndSave","testRevokeAllValidUserTokens_ShouldRevokeAndSave()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","testAgeBetween","testAgeBetween()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","28","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","subscribeTenant_shouldSaveTenantAndCreateUser","subscribeTenant_shouldSaveTenantAndCreateUser()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","106","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.RoleServiceTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.RoleServiceTest","testCreateRole_success","testCreateRole_success()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testListGroupMembers_groupNotFound_throwsException","testListGroupMembers_groupNotFound_throwsException()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","testUpdateUserDetails_success","testUpdateUserDetails_success()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","testDeletePriest","testDeletePriest()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","testFindChildById","testFindChildById()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testRemoveMembersFromGroup_groupNotFound_throwsException","testRemoveMembersFromGroup_groupNotFound_throwsException()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","testExists_ShouldReturnTrue","testExists_ShouldReturnTrue()",""
"passed","Wed Oct 15 23:12:06 GMT 2025","Wed Oct 15 23:12:06 GMT 2025","15","","com.anastasia.Anastasia_BackEnd.UnitTests.repository.UserRepositoryUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.repository.UserRepositoryUnitTest","testFindAllByUuidIn","testFindAllByUuidIn()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","5","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","testAuthenticate_ShouldThrowIfAuthFails","testAuthenticate_ShouldThrowIfAuthFails()",""
